id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,latitude,longitude,cluster
13428443,JH224154,4/13/2024 22:41,011XX E BOWEN AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,VEHICLE NON-COMMERCIAL,FALSE,FALSE,214,2,4,36,3,2024,4/21/2024 15:40,41.81871051,-87.59932401,0
13428428,JH224214,4/13/2024 22:40,064XX S UNIVERSITY AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,314,3,20,42,04A,2024,4/21/2024 15:40,41.77801575,-87.59806145,2
13431471,JH227426,4/13/2024 22:40,073XX W FOSTER AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,1613,16,41,10,6,2024,4/21/2024 15:40,41.97443857,-87.81119077,1
13428505,JH224137,4/13/2024 22:38,010XX W 79TH ST,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,FALSE,FALSE,612,6,17,71,7,2024,4/21/2024 15:40,41.75055692,-87.64971358,2
13428371,JH224139,4/13/2024 22:35,074XX S KENWOOD AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,FALSE,FALSE,324,3,8,43,15,2024,4/21/2024 15:40,41.76004316,-87.59205042,2
13428415,JH224147,4/13/2024 22:32,103XX S DRAKE AVE,460,BATTERY,SIMPLE,RESIDENCE - YARD (FRONT / BACK),FALSE,FALSE,2211,22,19,74,08B,2024,4/21/2024 15:40,41.70515979,-87.70992019,1
13428924,JH224747,4/13/2024 22:30,063XX S GREEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,723,7,16,68,14,2024,4/21/2024 15:40,41.77868024,-87.64599065,1
13428592,JH224169,4/13/2024 22:30,130XX S EXCHANGE AVE,4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,RESIDENCE,FALSE,TRUE,433,4,10,55,26,2024,4/21/2024 15:40,41.65842447,-87.55197849,1
13428474,JH224266,4/13/2024 22:30,051XX S HARPER AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,RESTAURANT,FALSE,FALSE,234,2,4,41,11,2024,4/21/2024 15:40,41.8019461,-87.58914335,1
13434589,JH227425,4/13/2024 22:30,092XX S PEORIA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,2223,22,21,73,08B,2024,4/21/2024 15:40,41.72616942,-87.64577402,2
13433772,JH230758,4/13/2024 22:30,005XX W BELMONT AVE,580,STALKING,SIMPLE,APARTMENT,FALSE,FALSE,1934,19,44,6,08A,2024,4/21/2024 15:40,41.94005853,-87.64365383,1
13429009,JH224837,4/13/2024 22:30,029XX W BIRCHWOOD AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2411,24,50,2,6,2024,4/21/2024 15:40,42.01744676,-87.70266582,2
13432145,JH228867,4/13/2024 22:30,079XX S GREENWOOD AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,624,6,8,44,08A,2024,4/21/2024 15:40,41.75047294,-87.59789577,1
13428488,JH224168,4/13/2024 22:30,049XX W THOMAS ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1531,15,37,25,08B,2024,4/21/2024 15:40,41.90047885,-87.74962002,1
13428412,JH224172,4/13/2024 22:27,044XX N CAMPBELL AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,1911,19,47,4,3,2024,4/21/2024 15:40,41.96216425,-87.69115505,0
13428367,JH224128,4/13/2024 22:27,035XX W 13TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,FALSE,FALSE,1021,10,24,29,15,2024,4/21/2024 15:40,41.86409992,-87.71377523,2
13428404,JH224127,4/13/2024 22:25,028XX W MARQUETTE RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),TRUE,FALSE,831,8,15,66,15,2024,4/21/2024 15:40,41.77181955,-87.69351174,2
13431438,JH226917,4/13/2024 22:25,009XX W RANDOLPH ST,870,THEFT,POCKET-PICKING,BAR OR TAVERN,FALSE,FALSE,1224,12,27,28,6,2024,4/21/2024 15:40,41.88445429,-87.6513508,1
13429352,JH224141,4/13/2024 22:20,087XX S MORGAN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2222,22,21,71,08B,2024,4/21/2024 15:40,41.73547237,-87.64848497,1
